package_name,version,sha1,sha256,md5
icon-package,7.7.8,123dad7d48c47486e9c226ad50b26b2ba5ec9fe2,b096cc3cd0c28d9ea0e97075dd822ae2e95d9b71add5aa84239ae2186e756d4a,62467f3e30672ae96c29a8513aa9a663
icon-package,7.7.9,17fef01df47ceb87b2755f4a18db23d8f7276d30,413f28cdf3c0795bb2b65301abd13f3d944c5670aa2721f880e12a8218f39036,a9de1d9bbd514b38b82de3d432096677
icon-package,8.0.9,ae70ef4e5a0bb522179e5d488ed56efb9ae5b4d9,e57bc7c3b19e9a11b4dba3eac0c7c9fe5958a199f237218a782dcb7238005ae6,9591df3d88d98e7aa98220eb775a4af0
icon-package,9.0.0,e66609e433e5b51a148889ff128bd7182fe22d4b,b6665eab0d65f8719e5547b6a271ceb1e6b59d6eba6e85b8d83a0bba066a33a7,8dfd92d229b69d5e55f955c488719422
iconion-package,1.0.0,73db956f7f752c4f71a8a8588604fa7d7af7de7e,42a1a5446bd057343a9c3397aa1e4366490e2e52ea708df29f7bf992c6500bb3,9d2d22d7cea56415981010f836bc7079
icons-pack,7.8.3,6388e354433f8c608ab8a97ed9391b9dc44d2a99,62e9aab5f4d557bb769d13d41e5e74ab4de86e8da80c169997759586739fdbaa,1a661485c05ac775d25fc68e31396289
icons-package,2.2.2,a5ad7a0edda67b7267694898a82abbee1ec7a466,4aede64d15112f43653d2c1b941743367f45874ac8bf0adf2f8cf904a5d2ef95,3b6992f00de576891c4b1713f4ff262c
icons-package,3.0.9,20254c86209118144e6a25fb90abea6f7c903d8e,ef6b20f64aba3bfe6cdab72ba4529bdfd3feec0f071b6662ec13adef4da1042f,b27f237b983a497396d7241740757831
icons-package,4.4.4,fb672c0b982542eeacce66be67a5bc4ff9567596,71b487ac4a28715b2d54714dd248ab9bb1bbf41ef4ba2aa0970afb7900329181,e018f4efa508f29a2d19f619e7967074
icons-package,4.4.5,a386ddf8fb1d0846e01501f6fbac11e0389ef581,40b985639c8d7694e5bc67368177683538f8e084f0c8a3cdf7c9a1613d3649b4,0391bf58887b3493061a69e24eb7d664
icons-packages,7.4.0,a2d25c070750cbd20f0c327980a40c26f4ea47ec,1d2977774594a62bcf08a3479ffa3657dee4be75348d1e6447c69774c8d5104c,0f26527cc8849f9a9666d21b568a4c50
ionic-icon,4.7.0,8ab228743d3fef5c89aa55c7d3a714361249eba8,2a70511deac68a5cc54391a9e95f585b21a9efa514009e1e334cfe34d31ad93e,d2391beb89cd1bce10b1f0ecd182a266
ionicio,5.0.0,f0221e1707075e2976010d279494bb73f0b169c7,34d2e98ba0437687b02e2bed8eb20c52d0825b7a92adb0bd2a2b7b0e9139cd73,3a395a9cca6066716f638c0db6b732de
ionicon-package,9.0.3,f78a57ab8e288c725e452787f3b070ec690f276b,623983a2f1bf837ff2d0475270e323efd025a8603a5e7a5301168711dd895768,d603000d17332dcca3de23e24de80568
ionicons-js,5.0.2,069f9c723af8be981a3e6220b991b9c40320d8b5,ebaef0af4f2d7ae838a725f653a3534e28e9682d8e412311f440965cfbebbbb0,cee67d60730693d6d958fb8358c4db9c
ionicons-json,5.0.2,52a96612e3d2df0a7980de81d622da6c5ff84513,aa6705e1aa6caa21d4731797ba14d27bad82b44905a9a28457ca0a1982bcd075,2818034706c76099f076daf253557d70
ionicons-pack,1.5.2,fe59a8d59f6764800ce5b85f2bfbc4db05840bae,e527191e459b0568a2629a58aeac87587be5b225aaa26988095298fe26901d52,e229841ba1900e091582a431b6770b06
kbrstore,1.0.0,7e14150502ee992fc8b1259de58261aeb2f58ae1,039b377fd776d5ee243e8984a142bc28172d37c75c228525ece2f4759d418395,b0a8d6ac67571baf537a7b510462f85e
libz.jquery,1.0.0,9a41b333143eb0ad75bb93288a988ec8387379ca,5ea1d1a0ea2c6076eeb0772fe9a9d77d9ad7124e56996c2b57aff93803c1e414,a5a59f98a05240ef617c4992bc78d54a
libz.jquery,3.6.0,1517b34ed31cf3f2815105d344dd0b845d48d092,0bfa9f0df37dc4722e8127e8e02a11af6512e1eecbdfd168ec58661fe6b4d073,f194c5d02759ac99e8cd973c50c255a3
libz.jquery,3.6.1,fd7197e446107ba047a2fa43814cdecc794b3dae,95b75478e0f9156c6600b4fe603323cb5ba5ca9ca5f024c88f32cd83400e7389,fa83eec943ff3ab698126965581e4966
libz.jquery,3.6.3,4e30e0d1cf39cdaf5f03b7afda81aa2aed6a6d5d,574e94c22b33f98d75b87dd13ef34ea9442e634ba0654ffb3904d9a9c01633e5,f90cbd02a67f090ad308a1e1144956ec
pack-icons,2.4.3,cda4b444744196ae9b2753830f750bc5e4548061,295b0b06d297b2b4a319e33d0bd296cf4ef79c5d345ea0041045b7610742cb26,18f2b6a958a3531bd4a5d2b007bad4dc
package-icon,6.0.5,1a719f2efa398ef8659a401e6209377beab87105,8231e7f34ae739dd8a074adf1eb5e5671a88aff9c1b6c0d348821040ead98ee4,e7522cf388ee0d45a2c807bf026e463a
package-ionicon,8.0.5,c11d9aa077207adeef30cfdd9df3fe979e114b06,3a1672e6c6056ed8ab4aa8959a6fa8368ed438abd698f2edea1c800b15ae3d35,455d8359592acb296389aebbf273a9a1
package-ionicons,8.0.5,abb8ff44d224b23266769d0808ebe97c3838e484,4c5e75d00db5faa6d2d7226239096a2c8a09d40d32e87539263574dc4ad13602,074cb655df7c2edcb67ed036eccc766c
package-show,5.5.9,def789dc6322255264703c00d4f4dd265a48b50e,880a17ee74ab26d55056c3a18b637c15321725b7f37f49e04432cfe6854a68b9,cc057796b40588c1d167e67388c70e47
package-sidr,2.2.2,87cb0505dbb141391103e2bd358f3aa774210a4a,c47a415ca4d0209b8d811433d3c8d43dc8b4bcee3ddd83b8c90e696acaa278a1,a20faf64b697a347fff6cdb6509013ff
roar-01,1.0.0,8c128c3be9645582db2fee9e64e175149d51d92c,033cc581e5b1c30bef901fbd63938ec3948c42df094752e8c3ad1306a706b89b,75895e18dc2e73958924fda54384cdf8
roar-02,1.0.0,a1e2cb98d2aa1b134b3be04d6a720393dcf6c072,f366a9042e6fcf5df7af941b83338ebbaf56a900adb49760a1b87ef8382634ae,a402948bedf0b87ff3d58956c1590cd5
subek,1.0.0,68d1c1883cfab75fa933ab08189ba7abbd2625a8,e51c65a7494100552a987d2c294b40cea280af015990706ac81cf2860910da32,b1f27d48eb7dd096b4da87ba0c62d0d1
swiper-bundie,10.5.3,b64a10493897c96feb6eda1d0c9fc7ec85506258,ef06033372490a03ee838a631ff5bd30ac6f0945dce81266858f7de4375bb4f8,4d48e808523f1bbef88dc1549182b400
swiper-bundle,1.0.0,05d2084e1b2ce1d28c3096f16694413ec480704e,0220190708638ab0e145e03acc4c1db22c11cb465504593f602b55c9cca0339c,f08613ad078a12d29625a4a1c044414c
swiper-bundle,10.21.3,64cd1eda88f92b32323f9784aab6d1a0bdd7a38c,71e750d4240d90d48f9e3697020aeeac649863e3279af9bf8995533253bbcba8,13774e44c4f3860bfdbc7e2589238765
swiper-bundle,10.22.3,fa234405c958a9ff22bac7debfbcde452294d73c,b544e9a0ddbd3a4a7a40b559a34cf96a453d14c8665780cc453def32cb4ae1d9,5fc123151a514b1ff30c87a0922b1d1b
swiper-bundle,10.52.3,06cb7b1810ca1485e15fa81d92bd92533ff8c001,a59fd594006d1ee09f05acb97adde67740d792b2a7af623338790160359b876f,0de78c4144dde5453022a8b5341b0d77
swiper-bundle,3.7.1,1de14d6be4029aa7888f8fc83779b61c96c063da,3b71d42ad9d68c90032c6410e097819062f0c0ea87fd602b424816366bc476fa,1595e0c70eef4e552c31ecf27fbc9eb0
tescodek,6.0.0,8304b8c9549d08e3c258ce22f99587843bb52c00,d678b287541479b32c96cea0be6fb7212668a9f9b780cb2356f749eef23741be,5417f258c467f18c5e8787b951594c95
tezdoank,1.0.0,eec7e3769b4d8b23aeb00f81583750ed26fadc47,fc020a5d9ee68b0bf602440e26e589ea9dfc90303c578d08531645458f1738f0,c4c60970ee99ca3127884ce1bb5e9d2d
tezdoank,2.0.0,5ba35812337b3c7a0064accf17479a26de486951,0ea506aa8657a4f2b876e3043485c72519407ec1e6b0c18c6322c0a39616c891,ab93cc55c69969176f687129ad3d87b5
umbrellaks,1.0.0,81031febc2ed49bdd8c8f7ca810830df1b0d3476,8c8e23299c6228e392f4cc73d326ac69f177070a03eaa9d1dd1aa3a095802927,28361e617b5e83db9fce7606cc11a392
wkwk100,3.4.5,9f2a2001a07b92adef023ca697e4febba073728e,16f91a1e862585cdeed19781f8260910ce242447ef68d57db9dc1cad6d1e4109,1eab46369ebbdd43feec33b292d18b04
